jobNm
비누 및 화장품화학공학기술자 및 연구원
비서
비파괴검사원
사무용 전자기기설치·수리원
사서
사진인화·현상기조작원(사진수정 포함)
사진작가 및 사진사
사회단체활동가
사회복지관리자
사회복지사
사회학연구원
산부인과의사
산업안전원 및 위험관리원
산업전기공
상·하수도처리장치조작원
상점판매원
상품기획자
상품대여원
상품중개인 및 경매사
생명과학시험원
생물학연구원
생산관리사무원
생활지도원
섀시조립·설치원
석유·천연가스제조제어장치조작원
석유화학공학기술자 및 연구원
선박갑판원
선박객실승무원
선박교통관제사
선박기관사
선박정비원
선박조립원
선장 및 항해사
섬유공학기술자
섬유공학시험원
섬유제조기계조작원
성악가
성우
성형외과의사
세무사
세탁기계조작원
세탁원(다림질원)
소규모판매점장
소방공학기술자 및 연구원
소방관
소설가
소아청소년과의사
소음진동기술자 및 연구원
속기사
손해사정사
송·배전설비기술자
수산학연구원
수상운송사무원
수의사
수의사보조원
수질환경기술자 및 연구원
수학 및 통계연구원
숙박시설서비스원
스포츠감독 및 코치
스포츠강사
스포츠트레이너
승강기설치·정비원
시각디자이너
시멘트·광물제품생산기계조작원
시설·특수경비원
시스템소프트웨어개발자
식품·담배등급원
식품공학기술자 및 연구원
식품공학시험원
신문기자
신발제조기계조작원 및 조립원
신용분석가
신용추심원
신호원 및 수송원
실내장식디자이너
심리상담전문가
심리학연구원
아나운서
악기제조원 및 조율사
안경사
안과의사
안내 및 접수사무원
안마사
안무가
약사
약학연구원
양식원
양식조리사
양장·양복제조원
어부 및 해녀
언어치료사
언어학연구원
여행·호텔관리자
여행사무원
여행상품개발자
여행안내원
역사학연구원
연구관리자
연극 및 뮤지컬배우
연극연출가
연극영화방송기술감독
연예인매니저
연주가
열차객실승무원
영상·녹화 및 편집기사
영상그래픽디자이너
영양사
영업·판매관리자
영업기획·관리·지원사무원
영화감독
영화배우 및 탤런트
영화시나리오작가
예능강사
예술·디자인·방송관리자
예술치료사
오락시설서비스원
오토바이정비원
온라인판매원
외과의사
외국어강사
외선전기공
요양보호사 및 간병인
용접원(용접기조작원)
운송관리자
원자력공학기술자
웨딩플래너
웹개발자
웹기획자
웹디자이너
웹운영자
위관급 장교
위험관리원
유리·유리제품생산기계조작원
유리부착원
유치원 원장 및 원감
유치원교사
육류·어패류·낙농품가공기계조작원
육묘 및 화훼작물재배자
육아도우미
은행사무원
음료제조기계조작원
음료조리사
음식배달원
음식서비스관리자
음향·녹음기사
응급구조사
응용소프트웨어개발자
의료코디네이터
의복·가죽·모피수선원
의상디자이너
의약품공학기술자 및 연구원
의학연구원
이동전화기수리원
이비인후과의사
이용사
인사·교육·훈련사무원
인쇄기계조작원
인적자원전문가
일반기계조립원
일반의사
일반행정공무원
일식조리사
임상병리사
임상심리사
임학 및 산림학연구원
자동조립라인·산업용 로봇조작원
자동차공학기술자
자동차부품조립·검사원
자동차영업원
자동차정비원
자동차조립원
자산운용가
자연 및 문화해설사
자연과학시험원
자재·구매사무원
자전거판매 및 정비원
작곡가
작업치료사
잠수기능원
잡지기자
장례지도사 및 장례상담원
재단사
재료(금속)공학기술자
재봉사
재활공학기사
재활용 처리장치·소각로조작원
전기·가스·수도관리자
전기·전자공학시험원
전기·전자부품·제품조립원
전기·전자설비조작원
전기감리기술자
전기계측제어기술자
전기기기·제품개발기술자 및 연구원
전기부품·제품생산기계조작원
전기안전기술자
전산자료입력원 및 사무보조원
전자계측제어기술자
전자부품·제품생산기계조작원
전자제품 및 부품 개발기술자
전통건축기능원
점토제품생산기계조작원
점화·발파·화약관리원
정보보안전문가
정보시스템운영자
정보통신관리자
정보통신컨설턴트 및 감리원
정부·공공행정전문가
정부행정관리자
정신과의사
정육원 및 도축원
정치학연구원
제과·제빵원
제관원(제관기조작원)
제도사(캐드원)
제분·도정기계조작원
제조·생산관리자
제품광고영업원
제품디자이너
제화원
조각가
조경기술자
조경원
조림·산림경영인 및 벌목원
조명기사
조사전문가
조선·해양공학기술자
조세행정사무원
조적원
종이제품생산기계조작원
주방보조원
주방장
주유원
주입·포장·상표부착기계조작원
주조원(주조기조작원)
주차관리·안내원
중·고등학교교사
중고등학교 교장 및 교감
중식조리사
증권·외환딜러
증권사무원
지게차운전원
지리정보시스템전문가
지적 및 측량기술자
지질학연구원
지휘자
직업상담사
직업운동선수
직조기 및 편직기조작원
집배원
채소·특용작물재배원
천문 및 기상학연구원
철골공(강구조물건립원)
철근공
철도·전동차기관사
철도·지하철운송사무원
철도교통관제사
철도기관차·전동차정비원
철로설치·보수원
철학연구원
청능사
청소년지도사
청소원
청원경찰
초등학교 교장 및 교감
초등학교교사
총무사무원
촬영기사
축산학 및 수의학연구원
출납창구사무원
출판·자료편집사무원
출판물기획자
취업알선원
치과기공사
치과위생사
치과의사
컴퓨터강사
컴퓨터설치·수리원
컴퓨터시스템설계 및 분석가
컴퓨터하드웨어기술자
콘크리트공
크레인 및 지게차설치 및 정비원
크레인·호이스트운전원
타이어·고무제품생산기계조작원
타일·대리석시공원
태양광발전연구 및 개발자
택배원
택시운전원
텔레마케터
토목감리기술자
토목구조설계기술자
토목시공기술자 및 견적원
토목안전·환경기술자 및 토목품질기술자
토양환경기술자 및 연구원
통계사무원
통신기기·서비스판매원
통신기기·장비기술자
통신기술개발자
통신망운영기술자
통신장비기사
통신장비설치·수리원
통역가
투자분석가
특수교육교사
판금원(판금기조작원)
판사
패션소품디자이너
패스트푸드준비원
패턴사
펄프·종이제조장치조작원
폐기물처리기술자
표백·염색기조작원
품질관리사무원
풍력발전연구 및 개발자
프로게이머
플라스틱제품생산기계조작원
플랜트기계공학기술자
피부 및 체형관리사
피부과의사
하역·적재종사원
학습지·교육교구방문강사
학예사
한복제조원
한식조리사
한약사
한의사
항공공학기술자
항공교통관제사
항공기객실승무원
항공기정비원
항공기조종사
항공운송사무원
해양경찰관
해외영업원
행사기획자
행정부고위공무원
행정사
헬리콥터정비원
헬리콥터조종사
혼례종사원
홀서빙원
홍보도우미 및 판촉원
화가
화물차·특수차운전원
화학공학시험원
화학물가공장치조작원
화학연구원
화학제품생산기계조작원(고무·플라스틱 제외)
환경미화원 및 재활용품수거원
환경시험원
환경영향평가원
회계사
회계사무원
